Title,Year,Language,Day1_collection_cr,Production Company,Release Date,Genre,Director,Runtime (min)
Pride,2024,Hindi,0.005,Omaks Production,02-08-2024,"Action, Drama",Pankaj K.R. Virat,49
The Zoya Factor,2019,Hindi,0.7,"Adlabs Films Ltd, Fox Star Studios",20-09-2019,"Comedy, Sports",Abhishek Sharma,134
Hume Tumse Pyaar Kitna,2019,Hindi,0.05,"Bora Bora Entertainment, Belvie Productions",05-07-2019,Romance,Lalit Mohan,151
Naam,2024,Hindi,0.08,"Snigdha Movies Pvt Ltd, Roongta Entertainment",22-11-2024,"Crime, Thriller",Anees Bazmee,136
Mirzya,2016,Hindi,2.2,"Rakeysh Omprakash Mehra Pictures, Cinestaan Film Company Pvt. Ltd.",07-10-2016,Romance,Rakeysh Omprakash Mehra,129
Kisi Ka Bhai Kisi Ki Jaan,2023,Hindi,15.81,Salman Khan Films,21-04-2023,"Action, Comedy",Farhad Samji,144
Drishyam 2,2022,Hindi,15.38,"T-Series Super Cassettes Industries Ltd., Viacom 18 Motion Pictures, Panorama Studios",18-11-2022,"Crime, Thriller",Abhishek Pathak,142
Shaila,2025,Hindi,0.03,Riyom Films,28-02-2025,"Romance, Musical",Saki Shah,95
Global Baba,2016,Hindi,0.07,Vijay Arts,11-03-2016,Drama,Manoj Siddheshwari Tiwari,118
Ishq Click,2016,Hindi,0.05,Algol Films,22-07-2016,Drama,Anil Balani,138
Rock On 2,2016,Hindi,2.02,"Excel Entertainment, Eros International",11-11-2016,"Drama, Musical",Shujaat Saudagar,139
Dedh Lakh Ka Dulha,2022,Hindi,0.01,"KK Films Creations, APS Pictures",30-12-2022,Comedy,Abhay Pratap Singh,128
Tu Meri Poori Kahani,2025,Hindi,0.08,Indira Entertainment,26-09-2025,"Romance, Drama",Suhrita Das,138
Pataakha,2018,Hindi,0.8,"KYTA Productions, Vishal Bhardwaj Pictures Pvt Ltd, B4U Motion Pictures",28-09-2018,"Action, Comedy, Drama",Vishal Bhardwaj,134
Goldfish,2023,Hindi,0.1,Splendid Films,01-09-2023,Drama,Pushan Kripalani,99
7 Hours To Go,2016,Hindi,0.45,Krian Media,24-06-2016,"Crime, Action, Thriller",Saurabh Varma,115
Ladki: Dragon Girl,2022,Hindi,0.02,Artsee Media Production,15-07-2022,"Action, Romance",Ram Gopal Varma,133
Judgementall Hai Kya,2019,Hindi,4.5,"Balaji Motion Pictures, Karma Media Entertainment",26-07-2019,"Action, Crime, Drama, Suspense, Thriller",Prakash Kovelamudi,121
Bhediya,2022,Hindi,7.48,"Maddock Films, Jio Studios",24-11-2022,"Horror, Comedy",Amar Kaushik,156
